t1_name,t1_rank,t1_form_wins,t1_form_losses,t1_h2h_wins,t2_name,t2_rank,t2_form_wins,t2_form_losses,t2_h2h_wins,h2h_ot,t1_score,t2_score,outcome
Dignitas,31,12,4,2,EXTREMUM,84,1,1,0,0,0,2,0
NLG,208,1,3,0,ECLOT,149,2,1,0,0,2,0,1
SKADE,20,32,17,12,Anonymo,66,5,6,4,2,2,0,1
Young Ninjas,40,28,19,4,AURA,72,7,3,0,0,0,1,0
G2,3,5,6,8,NIP,10,8,5,6,3,1,2,0
Lyngby Vikings,41,20,11,2,777,60,11,11,1,0,2,1,1
AGO,27,22,12,1,Dignitas,31,12,4,4,0,1,0,1
1WIN,32,18,9,0,00Nation,44,4,3,0,0,2,0,1
Fiend,30,20,12,0,Dignitas,31,12,3,0,0,2,0,1
Entropiq,19,16,12,0,Eternal Fire,67,10,6,0,0,2,1,1
eSuba,136,2,4,0,EXTREMUM,84,0,1,0,0,1,2,0
Sylyx,0,0,0,0,Bandits,0,2,5,0,0,2,0,1
The Big Dogs,0,0,0,0,Nebula,0,0,0,1,0,2,1,1
domilk,264,1,4,0,Renegades,23,7,3,0,0,0,2,0
Bandits,231,2,6,0,Lese,253,1,5,0,0,0,1,0
Lyngby Vikings,41,19,11,2,Young Ninjas,40,28,18,0,0,2,0,1
Warriors,218,4,7,0,Rooster,147,9,7,0,0,0,1,0
Strife,117,2,4,0,ONET4P,132,1,2,0,0,2,1,1
Mad Kings,245,3,4,2,Skullcracker,304,0,2,1,0,1,2,0
Mythic,86,7,5,0,Big Chillin,160,3,4,0,0,2,0,1
paiN,42,9,2,0,ChocoCheck,129,3,4,0,0,1,0,1
Spirit,12,13,10,0,Eternal Fire,67,9,6,0,0,1,2,0
Copenhagen Flames,24,28,12,6,HAVU,34,13,11,3,1,2,0,1
NIP,10,7,5,9,BIG,13,6,7,6,3,2,0,1
SHAPE,0,0,0,0,Arctic,242,1,0,0,0,2,0,1
SSP,0,0,0,0,Dark Tigers,0,0,0,0,0,2,0,1
Sampi,285,0,2,0,Enterprise,77,8,9,0,0,0,2,0
EXTREMUM,84,0,0,0,Dignitas,31,11,3,0,0,0,2,0
Sinners,20,14,7,0,hREDS,164,5,5,0,0,2,1,1
SKADE,21,31,17,0,GORILLAZ,92,8,8,0,0,2,0,1
Fiend,31,19,12,2,eSuba,144,2,3,0,0,2,0,1
G2,3,4,6,0,MIBR,48,7,6,0,0,2,0,1
B8,132,3,7,0,ECLOT,0,1,1,0,0,0,2,0
ex-CLEANTmix,0,0,0,0,Budapest Five,97,3,6,0,0,0,2,0
Anonymo,69,4,6,1,GamerLegion,42,14,13,2,2,2,0,1
Entropiq,19,15,12,0,Trasko,65,15,5,0,0,2,0,1
Dynasty,256,3,4,0,Kanga,204,4,6,0,0,2,0,1
VERTEX,98,8,4,0,Lese,246,1,4,0,0,2,0,1
LDLC,33,15,13,4,Young Ninjas,41,27,18,0,0,1,2,0
lol123,109,7,4,0,ORDER,95,8,1,5,0,0,1,0
LookingForOrg,96,4,0,0,CAMO,231,2,3,0,0,2,0,1
Rooster,161,9,7,4,Caught off Guard,264,2,8,0,0,1,0,1
ATK,99,4,4,0,RBG,58,16,12,0,0,2,1,1
Extra Salt,27,14,2,2,Party Astronauts,49,21,10,0,1,2,1,1
LookingForOrg,96,5,0,30,ORDER,100,8,1,38,9,0,1,0
Levitate,119,3,5,1,Eros,126,4,8,2,1,2,0,1
Triumph,73,17,9,0,Strife,104,2,3,0,0,2,0,1
Imperial,128,7,5,7,Havan Liberty,68,22,7,5,1,2,1,1
Eros,126,4,7,0,Party Astronauts,49,20,10,0,0,0,2,0
Extra Salt,27,13,2,0,Levitate,119,3,4,0,0,2,0,1
FURIA,17,6,6,0,mouz NXT,36,19,6,0,0,2,1,1
1WIN,30,17,9,0,iNation,222,1,0,0,0,2,0,1
eSuba,144,2,2,0,Fiend,31,18,12,0,0,0,2,0
Trasko,65,15,4,0,INDE IRAE,78,8,5,0,0,1,2,0
iNation,222,0,0,0,OPAA,108,5,5,0,0,2,1,1
00Nation,43,3,3,0,777,60,11,10,0,0,2,1,1
Sinners,20,13,7,2,4glory,175,5,5,1,0,2,0,1
1WIN,30,16,9,0,AnimeSubmarine,0,0,0,0,0,2,0,1
AVE,91,7,7,0,Singularity,72,2,2,1,0,2,0,1
Wings Up,165,7,6,0,Checkmate,129,8,6,0,0,1,2,0
Endpoint,26,17,6,2,Lyngby Vikings,44,18,11,1,1,0,2,0
1WIN,30,15,9,2,cowana,80,4,2,2,0,2,0,1
VERTEX,98,7,4,0,8Ballers,225,3,5,0,0,2,0,1
TeamOne,51,0,11,0,Triumph,73,17,8,0,0,2,0,1
GODSENT,71,3,4,0,Strife,104,2,2,0,0,2,0,1
paiN,47,8,2,8,RBG,58,16,11,1,1,2,0,1
Bad News Bears,40,12,9,0,ATK,99,4,3,0,0,2,0,1
Vitality,5,12,4,9,Astralis,8,7,6,15,3,2,1,1
Imperial,128,6,5,0,Paquetá,63,28,14,4,1,2,1,1
Bravos,53,34,12,0,Havan Liberty,68,22,6,4,0,2,1,1
BLINK,61,9,5,0,1shot,114,2,1,0,0,2,1,1
Young Ninjas,41,26,18,0,Spirit Academy,75,12,9,0,0,2,1,1
Entropiq Prague,148,3,3,3,Enterprise,81,7,9,0,0,1,3,0
Akuma,45,10,9,1,INDE IRAE,78,8,4,0,0,2,1,1
OPAA,108,5,4,0,Eternal Fire,89,8,6,0,0,0,2,0
Astralis,8,6,6,25,Liquid,11,7,5,9,3,2,1,1
Nemiga,46,9,9,2,Trasko,65,15,3,0,0,2,0,1
eSuba,144,1,2,0,BLUEJAYS,90,5,3,0,0,2,0,1
BLINK,61,9,4,0,Lyngby Vikings,44,17,11,0,0,1,2,0
Unique,62,2,4,0,Singularity,72,2,1,7,0,2,1,1
HAVU,37,12,11,0,SKADE,21,31,16,4,1,2,0,1
Entropiq,19,14,12,4,AVE,91,7,6,1,1,2,0,1
Sampi,0,0,1,0,ECLOT,0,0,1,0,0,0,2,0
NKT,87,10,0,4,Wings Up,165,7,5,2,1,2,0,1
Checkmate,129,7,6,0,Invictus,178,3,4,2,0,2,0,1
Marten,215,1,3,0,XGC,274,1,2,0,0,2,0,1
ONYX,86,7,6,0,777,60,10,10,0,0,0,2,0
Unique,62,2,3,1,BLUEJAYS,90,4,3,2,0,1,2,0
cowana,80,3,2,0,Finest,93,8,6,0,0,2,1,1
LookingForOrg,96,3,0,17,VERTEX,98,7,3,4,1,2,0,1
8Ballers,225,3,5,0,lol123,111,7,4,0,0,1,0,1
ChocoCheck,181,3,3,2,Mythic,121,6,5,1,0,0,2,0
OPAA,108,4,4,0,Anonymo,69,4,5,0,0,2,1,1
Enterprise,81,6,9,0,ECLOT,0,0,0,0,0,2,1,1
Paquetá,63,28,13,7,Havan Liberty,68,21,6,13,3,1,2,0
Bravos,53,33,12,0,Imperial,128,6,4,2,1,2,0,1
Evil Geniuses,35,1,8,0,Liquid,11,6,5,0,0,0,2,0
Eternal Fire,89,7,6,0,B8,132,3,6,0,0,2,0,1
Sampi,0,0,0,0,Entropiq Prague,148,2,3,0,0,1,2,0
BLUEJAYS,90,4,2,0,K23,28,12,8,0,0,1,2,0
Trasko,65,14,3,0,Enterprise,81,6,8,0,0,2,1,1
Astralis,8,6,5,15,Vitality,5,11,4,7,3,0,2,0
Copenhagen Flames,25,27,12,1,SKADE,21,31,15,2,0,2,1,1
SAW,52,11,12,0,Eternal Fire,89,6,6,0,0,1,2,0
LDLC,33,14,13,4,GamerLegion,42,14,12,1,0,2,0,1
Unique,62,1,3,0,Fiend,31,18,11,2,0,2,1,1
NKT,87,10,0,0,Checkmate,129,7,6,2,0,1,0,1
